Event Time,Effect (ATT),Observations,Countries,P-Value,T-Value,Standard Error,95% CI
-5.0,0.368,1904,66,0.482,0.703,0.263,"(-0.15, 0.88)"
-4.0,-0.116,66,66,0.485,-0.698,0.235,"(-0.58, 0.35)"
-3.0,0.076,66,66,0.873,0.16,0.261,"(-0.44, 0.59)"
-2.0,0.082,67,67,0.77,0.292,0.361,"(-0.62, 0.79)"
-1.0,0.0,66,66,,,,"(nan, nan)"
0.0,-0.073,65,65,0.885,-0.145,0.291,"(-0.64, 0.5)"
1.0,0.317,64,64,0.255,1.138,0.283,"(-0.24, 0.87)"
2.0,-0.07,64,64,0.85,-0.189,0.299,"(-0.66, 0.52)"
3.0,0.356,64,64,0.273,1.095,0.359,"(-0.35, 1.06)"
4.0,0.319,62,62,0.318,0.999,0.347,"(-0.36, 1.0)"
5.0,0.139,1666,61,0.169,1.375,0.316,"(-0.48, 0.76)"
