,Country,Blame Based,Fault Comment,Irreconcilable Differences,No Fault Comment,Treatment Y/N,Treatment Year,,Fault Based,Mutual No Fault,Unilateral No Fault
0,Afghanistan,1977.0,Fault required,,,No,,,,,
1,Albania,2003.0,Fault required,2013.0,Favors men,No,,,,,
2,Algeria,1984.0,Fault required,2005.0,Favors men,No,,,,,
3,Angola,,,1975.0,No fault,Yes,1976,,Yes,Yes,One year separation
4,Argentina,1987.0,Fault required,2015.0,No fault,Yes,2016,,No,Yes,Yes
5,Armenia,2004.0,Fault required,,,No,,,,,
6,Australia,,,1975.0,No fault,Yes,1976,,No,One year separation,One year separation
7,Austria,,,1978.0,No fault,Yes,1979,,Yes,Six month separation,Three year separation
8,Azerbaijan,1999.0,Fault required,,,No,,,No,One month waiting time,Up to three months cool-down period
9,Bangladesh,1869.0,Fault required,,,No,,,,,
10,Belarus,1990.0,Fault required,,,No,,,,,
11,Belgium,1970.0,Fault required,2007.0,No fault,Yes,2008,,No,Six month separation,One year separation
12,Belize,2018.0,Fault required,,,No,,,,,
13,Benin,2002.0,Fault required,,,No,,,,,
14,Bhutan,1980.0,Fault required,,,No,,,,,
15,Bolivia,1988.0,Fault required,2005.0,No fault,Yes,2006,,Yes,Two year separation,Two year separation
16,Bosnia and Herzegovina,,,1980.0,No fault,Yes,1981,,,,
17,Botswana,,,1973.0,No fault,Yes,1974,,No,Two year separation,Two year separation
18,Brazil,1977.0,Fault required,2010.0,No fault,Yes,2011,,Yes,Yes,Yes
19,Bulgaria,1952.0,Fault required,2009.0,No fault,Yes,2010,,Yes,Yes,Determined by court
20,Burkina Faso,1989.0,Fault required,,,No,,,Yes,Yes,Three year separation
21,Burundi,1993.0,Fault required,,,No,,,Yes,No,No
22,Cambodia,1989.0,Fault required,,,No,,,Yes,Yes,One year separation
23,Cameroon,1973.0,Fault required,,,No,,,Yes,Two year separation,Five year separation
24,Canada,,,1968.0,No fault,Yes,1969,,Yes,One year separation,One year separation
25,Central African Republic,1991.0,Fault required,,,No,,,,,
26,Chad,1996.0,Favors men,,,No,,,,,
27,Chile,,,2004.0,No fault,Yes,2005,,,One year separation,Three year separation
28,China,2020.0,Fault required,,,No,,,Yes,One month waiting time,Two year separation
29,Colombia,1991.0,Fault required,2025.0,No fault,Yes,2026,,Yes,Yes,Two year separation
30,Comoros,1991.0,Fault required,,,No,,,,,
31,Congo,1987.0,Fault required,,,No,,,,,
32,Congo Democratic Republic,,,,,No,,,,,
33,Costa Rica,1974.0,Fault required,,,No,,,,,
34,Cote d'Ivoire,1964.0,Fault required,,,No,,,,,
